reg,hex,operator,operator_legal,category,permit_no,permit_valid_until,model,type_icao,type_manufacturer,type_name,wing,seats,seats_raw,role,source_file,source_as_on,first_seen,registered_on,msn,year_of_manufacture,owner,lessor
VT-GSR,,Star Air,Ghodawat Enterprises Pvt. Ltd.,non-scheduled,#06/2014,2028-03-17,EC-135T3H,EC35,Airbus Helicopters,Airbus H135,RW,5,5,passenger,ns-oper.pdf,2026-08-31,2026-05-31,2025-10-06,2198,2022,GHODAWAT ENTERPRISES PVT. LTD.,-
VT-GSU,801618,Star Air,Ghodawat Enterprises Pvt. Ltd.,scheduled,SC-04,2028-12-31,EMB-170,E170,Embraer,Embraer E170,FW,76,76,passenger,sch-oper.pdf,2026-08-31,2024-06-10,2024-03-22,17000350,2012,NAC AVIATION 7 LIMITED,SAME AS OWNER
VT-GVA,,Global Vectra Helicorp,Global Vectra Helicorp Limited,non-scheduled,#08/1998,2028-04-28,BELL 412 EP,B412,Bell,Bell 412,RW,13,13,passenger,ns-oper.pdf,2026-08-31,2009-01-20,,,,,
VT-GVF,,Global Vectra Helicorp,Global Vectra Helicorp Limited,non-scheduled,#08/1998,2028-04-28,AS 350 B3,AS50,Airbus Helicopters,Airbus H125 (AS350),RW,6,6/Aerial Work,aerial-work,ns-oper.pdf,2026-08-31,2010-06-30,,,,,
VT-GVK,,Global Vectra Helicorp,Global Vectra Helicorp Limited,non-scheduled,#08/1998,2028-04-28,BELL 412 EP,B412,Bell,Bell 412,RW,13,13,passenger,ns-oper.pdf,2026-08-31,2013-05-02,2012-03-14,,,,
VT-GVL,,Global Vectra Helicorp,Global Vectra Helicorp Limited,non-scheduled,#08/1998,2028-04-28,BELL 412 EP,B412,Bell,Bell 412,RW,13,13,passenger,ns-oper.pdf,2026-08-31,2013-05-02,2015-12-16,36394,2006,WILMINGTON TRUST SP SERVICES DUBLIN LTD,WILMINGTON TRUST SP SERVICES DUBLIN LTD
VT-GVM,,Global Vectra Helicorp,Global Vectra Helicorp Limited,non-scheduled,#08/1998,2028-04-28,BELL 412 EP,B412,Bell,Bell 412,RW,13,13,passenger,ns-oper.pdf,2026-08-31,2014-06-12,,,,,
VT-GVP,800B7D,Global Vectra Helicorp,Global Vectra Helicorp Limited,non-scheduled,#08/1998,2028-04-28,AW 139,A139,Leonardo,Leonardo AW139,RW,15,15,passenger,ns-oper.pdf,2026-08-31,2015-09-01,2015-08-03,41407,2015,COLIN GOLDEN,NO 1 LTD
VT-GVT,800BA2,Global Vectra Helicorp,Global Vectra Helicorp Limited,non-scheduled,#08/1998,2028-04-28,BELL 412 EP,B412,Bell,Bell 412,RW,13,13,passenger,ns-oper.pdf,2026-08-31,2016-10-10,2016-02-05,36694,2015,AAB ROTOR LTD,AAB ROTOR LTD
VT-GVW,,Global Vectra Helicorp,Global Vectra Helicorp Limited,non-scheduled,#08/1998,2028-04-28,BELL 412 EP,B412,Bell,Bell 412,RW,13,13,passenger,ns-oper.pdf,2026-08-31,2017-07-20,2017-01-20,36552,2010,ROBERT THOR DRANITZKE,VERTICAL AVIATION NO 1 LTD
VT-GVX,,Global Vectra Helicorp,Global Vectra Helicorp Limited,non-scheduled,#08/1998,2028-04-28,BELL 412 EP,B412,Bell,Bell 412,RW,13,13,passenger,ns-oper.pdf,2026-08-31,2017-07-20,2017-05-24,36595,2012,VERTICAL AVIATION NO.1 LIMITED,VERTICAL AVIATION NO.1 LIMITED
VT-GVY,,Global Vectra Helicorp,Global Vectra Helicorp Limited,non-scheduled,#08/1998,2028-04-28,BELL 412 EP,B412,Bell,Bell 412,RW,13,13,passenger,ns-oper.pdf,2026-08-31,2017-09-26,2017-05-26,36544,2010,ROBERT THOR DRANITZKE,VERTICAL AVIATION NO 1 LTD
VT-GVZ,800C46,Global Vectra Helicorp,Global Vectra Helicorp Limited,non-scheduled,#08/1998,2028-04-28,AW169,A169,Leonardo,Leonardo AW169,RW,8,8,passenger,ns-oper.pdf,2026-08-31,2018-02-01,2017-08-18,69050,2017,VERTICAL AVIATION NO 2 LTD,VERTICAL AVIATION NO 2 LTD
VT-GYN,,Fairwinds Aviation,Fairwinds Aviation Pvt. Ltd.,non-scheduled,#01/2019,2029-01-10,CESSNA T206H,C206,Cessna,Cessna 206 Stationair,FW,,Aerial Work,aerial-work,ns-oper.pdf,2026-08-31,2025-09-30,2022-09-05,T20608107,1999,FAIRWINDS AVIATION PRIVATE LIMITED,
VT-HAB,,Himanad Management Services,Himanad Management Services,non-scheduled,#16/2025,2030-09-22,AW169,A169,Leonardo,Leonardo AW169,RW,7,7,passenger,ns-oper.pdf,2026-08-31,2025-09-30,2025-04-22,69168,2024,HANS CAPITAL LLC,HANS CAPITAL LLC
VT-HAU,,Pawan Hans,Pawan Hans Ltd.,non-scheduled,#02/1998,2029-03-14,ALH (DHRUV),ALH,HAL,HAL Dhruv,RW,9,9,passenger,ns-oper.pdf,2026-08-31,2025-09-30,2010-02-04,,,,
VT-HAX,,Syandan Aviation,Syandan Aviation Pvt. Ltd.,non-scheduled,#11/2025,2030-09-10,A109E,A109,Leonardo,Leonardo AW109,RW,7,7,passenger,ns-oper.pdf,2026-08-31,2015-09-01,2017-11-23,11648,2005,QUANTUM INVESTMENTS LTD,QUANTUM INVESTMENTS LTD
VT-HBX,800B5D,Target Air Services,Target Air Services Pvt. Ltd.,non-scheduled,#14/2023,2028-12-20,HAWKER 400A XP,BE40,Beechcraft,HAWKER 400A XP,FW,8,8,passenger,ns-oper.pdf,2026-08-31,2017-07-20,,,,,
VT-HEX,,United Helicharters,United Helicharters Pvt. Ltd.,non-scheduled,#04/2026,2031-02-19,EC-130T2,EC30,Airbus Helicopters,Airbus H130,RW,7,7,passenger,ns-oper.pdf,2026-08-31,2017-07-20,2017-05-16,8275,2017,QUANTAM INVESTMENTS LTD,QUANTAM INVESTMENTS LTD
VT-HFX,800C30,Syandan Aviation,Syandan Aviation Pvt. Ltd.,non-scheduled,#11/2025,2030-09-10,EC-130T2,EC30,Airbus Helicopters,Airbus H130,RW,7,7,passenger,ns-oper.pdf,2026-08-31,2017-07-20,2018-01-05,8294,2017,QUANTUM INVESTMENTS LTD,QUANTUM INVESTMENTS LTD
VT-HGL,8003A8,Modifi Aviations,Modifi Aviations Pvt. Ltd.,non-scheduled,#02/2026,2031-02-10,FALCON 2000,F2TH,Dassault,Dassault Falcon 2000,FW,10,10,passenger,ns-oper.pdf,2026-08-31,2009-04-30,2012-07-17,,,M/S ASHOK LEYLAND,M/S ASHOK LEYLAND
VT-HGX,800C22,Syandan Aviation,Syandan Aviation Pvt. Ltd.,non-scheduled,#11/2025,2030-09-10,A109S,A109,Leonardo,Leonardo AW109,RW,7,7,passenger,ns-oper.pdf,2026-08-31,2017-07-20,2017-12-20,22093,2008,M/s QUANTUM INVESTMENTS LTD.,M/s QUANTUM INVESTMENTS LTD.
VT-HHB,,Himalayan Heli Services,Himalayan Heli Services Ltd.,non-scheduled,#01/2002,2029-01-17,AS 350 B3,AS50,Airbus Helicopters,Airbus H125 (AS350),RW,5,5,passenger,ns-oper.pdf,2026-08-31,2025-09-30,2024-03-15,8887,2020,HELITRANS INVEST AS,SAME AS OWNER
VT-HHC,,Himalayan Heli Services,Himalayan Heli Services Ltd.,non-scheduled,#01/2002,2029-01-17,AS 350 B3E,AS50,Airbus Helicopters,Airbus H125 (AS350),RW,6,6,passenger,ns-oper.pdf,2026-08-31,2025-09-30,2025-04-16,9729,2025,HIMALAYAN HELI SERVICES LIMITED,-
VT-HHD,,Himalayan Heli Services,Himalayan Heli Services Ltd.,non-scheduled,#01/2002,2029-01-17,AS 350 B3E,AS50,Airbus Helicopters,Airbus H125 (AS350),RW,6,6,passenger,ns-oper.pdf,2026-08-31,2026-05-31,,,,,
VT-HIX,,Heritage Aviation,Heritage Aviation Pvt. Ltd.,non-scheduled,#04/2015,2029-06-30,EC130T2,EC30,Airbus Helicopters,Airbus H130,RW,7,7,passenger,ns-oper.pdf,2026-08-31,2026-05-31,2025-12-16,9835,2025,Heritage Aviation Private Limited,-
VT-HJS,,IndiaOne Air,India One Air Private Limited,scheduled,SC-09,2027-06-23,Cessna Grand Caravan 208B,C208,Cessna,Cessna 208 Grand Caravan,FW,9,9,passenger,sch-oper.pdf,2026-08-31,2023-01-31,2022-05-11,208B5669,2022,Redound Aviation Limited,Redound Aviation Limited
VT-HJX,,Heritage Aviation,Heritage Aviation Pvt. Ltd.,non-scheduled,#04/2015,2029-06-30,AS350B3E,AS50,Airbus Helicopters,Airbus H125 (AS350),RW,6,6,passenger,ns-oper.pdf,2026-08-31,2025-09-30,2025-04-16,9444,2023,Heliswiss lberica SA,Heliswiss lberica SA
VT-HKB,8006F3,Kelachandra Logistics,Kelachandra Logistics Pvt. Ltd.,non-scheduled,#04/2019,2029-06-13,BELL429,B429,Bell,Bell 429,RW,5,5,passenger,ns-oper.pdf,2026-08-31,2013-05-02,2012-01-24,,,,M/S JAMSHEDPUR
VT-HKL,,Dhillon Aviation,Dhillon Aviation Pvt. Ltd.,non-scheduled,#5/2005,2028-09-07,BELL412,B412,Bell,Bell 412,RW,13,13,passenger,ns-oper.pdf,2026-08-31,2025-09-30,2024-12-26,36488,2008,MACQUARIE ROTORCRAFT LEASING IRELAND LIMITED,SAME AS OWNER
VT-HKX,,Heritage Aviation,Heritage Aviation Pvt. Ltd.,non-scheduled,#04/2015,2029-06-30,AS350B3E,AS50,Airbus Helicopters,Airbus H125 (AS350),RW,6,6,passenger,ns-oper.pdf,2026-08-31,2025-09-30,2025-04-16,9528,2023,Heliswiss lberica SA,Heliswiss lberica SA
VT-HLD,,Heligo Charters,Heligo Charters Pvt. Limited,non-scheduled,#01/2009,2029-02-10,AW139,A139,Leonardo,Leonardo AW139,RW,15,15,passenger,ns-oper.pdf,2026-08-31,2011-07-15,2014-04-07,31281,2010,M/S HELIGO CHARTERS PRIVATE LIMITED,-
VT-HLH,800B07,Heligo Charters,Heligo Charters Pvt. Limited,non-scheduled,#01/2009,2029-02-10,AW139,A139,Leonardo,Leonardo AW139,RW,15,15,passenger,ns-oper.pdf,2026-08-31,2015-06-09,2015-02-25,41365,2014,WILMINGTON TRUST SP SERVICES DUBLIN LIMITED,WILMINGTON TRUST SP SERVICES DUBLIN LIMITED
VT-HLI,,Heligo Charters,Heligo Charters Pvt. Limited,non-scheduled,#01/2009,2029-02-10,AS 365 N3,AS65,Airbus Helicopters,Airbus Dauphin (AS365),RW,11,11,passenger,ns-oper.pdf,2026-08-31,2014-08-07,2014-06-12,6773,2007,WILMINGTON TRUST SP SERVICES DUBLIN LIMITED,WILMINGTON TRUST SP SERVICES DUBLIN LIMITED
VT-HLJ,,Heligo Charters,Heligo Charters Pvt. Limited,non-scheduled,#01/2009,2029-02-10,AS 365 N3,AS65,Airbus Helicopters,Airbus Dauphin (AS365),RW,11,11,passenger,ns-oper.pdf,2026-08-31,2015-03-26,2014-05-28,6776,2007,WILMINGTON TRUST SP SERVICES (DUBLIN) LIMITED,WILMINGTON TRUST SP SERVICES (DUBLIN) LIMITED
VT-HLP,800D44,Heligo Charters,Heligo Charters Pvt. Limited,non-scheduled,#01/2009,2029-02-10,H145,EC45,Airbus Helicopters,Airbus H145,RW,8,8,passenger,ns-oper.pdf,2026-08-31,2019-03-31,2019-02-01,20204,2019,"Vertical Aviation No. 2 Limited Dublin 4, Ireland",Same As Owner
VT-HLQ,8013C0,Heligo Charters,Heligo Charters Pvt. Limited,non-scheduled,#01/2009,2029-02-10,H145,EC45,Airbus Helicopters,Airbus H145,RW,9,9,passenger,ns-oper.pdf,2026-08-31,2025-09-30,2020-02-18,20300,2020,"VERTICAL AVIATION NO.2 LIMITED DUBLIN 4, IRELAND",SAME AS OWNER
VT-HLR,801417,Heligo Charters,Heligo Charters Pvt. Limited,non-scheduled,#01/2009,2029-02-10,AW139,A139,Leonardo,Leonardo AW139,RW,15,15,passenger,ns-oper.pdf,2026-08-31,2025-09-30,2021-01-13,31545,2014,Portrane Aviation Limited,Portrane Aviation Limited
VT-HLS,801430,Heligo Charters,Heligo Charters Pvt. Limited,non-scheduled,#01/2009,2029-02-10,BELL 412EP,B412,Bell,Bell 412,RW,11,11,passenger,ns-oper.pdf,2026-08-31,2025-09-30,,,,,
VT-HLT,80142F,Heligo Charters,Heligo Charters Pvt. Limited,non-scheduled,#01/2009,2029-02-10,BELL 412EP,B412,Bell,Bell 412,RW,11,11,passenger,ns-oper.pdf,2026-08-31,2025-09-30,,,,,
VT-HLU,801467,Heligo Charters,Heligo Charters Pvt. Limited,non-scheduled,#01/2009,2029-02-10,AW139,A139,Leonardo,Leonardo AW139,RW,15,15,passenger,ns-oper.pdf,2026-08-31,2025-09-30,,,,,
VT-HLV,80156F,Heligo Charters,Heligo Charters Pvt. Limited,non-scheduled,#01/2009,2029-02-10,BELL 412 EPI,B412,Bell,Bell 412,RW,13,13,passenger,ns-oper.pdf,2026-08-31,2025-09-30,2023-02-17,37053,2022,Textron Financial Corporation,Textron Financial Corporation
VT-HLW,8015BD,Heligo Charters,Heligo Charters Pvt. Limited,non-scheduled,#01/2009,2029-02-10,H145,EC45,Airbus Helicopters,Airbus H145,RW,8,8,passenger,ns-oper.pdf,2026-08-31,2025-09-30,2023-07-21,21131,2022,Vertical Aviation No 2 Limited,Vertical Aviation No 2 Limited
VT-HLX,801675,Heligo Charters,Heligo Charters Pvt. Limited,non-scheduled,#01/2009,2029-02-10,H145,EC45,Airbus Helicopters,Airbus H145,RW,8,8,passenger,ns-oper.pdf,2026-08-31,2025-09-30,2024-04-02,21225,2023,VERTICAL AVIATION NO 2 LIMITED,SAME AS OWNER
VT-HLY,801676,Heligo Charters,Heligo Charters Pvt. Limited,non-scheduled,#01/2009,2029-02-10,H145,EC45,Airbus Helicopters,Airbus H145,RW,8,8,passenger,ns-oper.pdf,2026-08-31,2025-09-30,2024-05-16,21209,2024,VERTICAL AVIATION NO 2 LIMITED,SAME AS OWNER
VT-HLZ,801688,Heligo Charters,Heligo Charters Pvt. Limited,non-scheduled,#01/2009,2029-02-10,H145,EC45,Airbus Helicopters,Airbus H145,RW,8,8,passenger,ns-oper.pdf,2026-08-31,2025-09-30,2024-05-07,21235,2024,VERTICAL AVIATION NO 2 LIMITED,SAME AS OWNER
VT-HMA,8005AE,Reliance Commercial Dealers,Reliance Commercial Dealers Ltd.,non-scheduled,#02/2008,2029-01-14,GLOBAL EXPRESS BD-700,GLEX,Bombardier,Bombardier Global Express,FW,14,14,passenger,ns-oper.pdf,2026-08-31,2010-06-30,2010-04-23,,,M/S CORP AIRCRAFT LEASING COMPANY LTD,M/S INVESTEC INTERNATIONAL LIMITED
VT-HNA,8015BF,HN Safal Aviation,HN Safal Aviation Pvt. Ltd.,non-scheduled,#07/2019,2029-10-24,Gulfstream G-150,G150,Gulfstream,Gulfstream G150,FW,8,8,passenger,ns-oper.pdf,2026-08-31,2025-09-30,2023-05-18,284,2009,HN SAFAL AVIATION PVT LTD,
VT-HNB,,Heligo Charters,Heligo Charters Pvt. Limited,non-scheduled,#01/2009,2029-02-10,AW139,A139,Leonardo,Leonardo AW139,RW,15,15,passenger,ns-oper.pdf,2026-08-31,2026-05-31,2025-12-04,32106,2025,Vertical Aviation No 1 Limited,Vertical Aviation No 1 Limited
VT-HNC,,Jet Serve Aviation,Jet Serve Aviation Pvt. Ltd.,non-scheduled,#02/2017,2029-02-09,ROBINSON-44 RAVEN II,R44,Robinson,Robinson R44,RW,3,3,passenger,ns-oper.pdf,2026-08-31,2009-04-30,2017-11-30,11543,2006,M/S PINNOCLE AIR PVT LTD,M/S PINNOCLE AIR PVT LTD
VT-HOX,,Heritage Aviation,Heritage Aviation Pvt. Ltd.,non-scheduled,#04/2015,2029-06-30,EC130T2,EC30,Airbus Helicopters,Airbus H130,RW,7,7,passenger,ns-oper.pdf,2026-08-31,2026-05-31,,,,,
VT-HSR,,IIC Technologies,IIC Technologies Limited,non-scheduled,#06/2015,2029-07-09,CESSNA 206H,C206,Cessna,Cessna 206 Stationair,FW,,Aerial Work,aerial-work,ns-oper.pdf,2026-08-31,2025-09-30,2024-01-25,T20609172,2015,IIC TECHNOLOGIES PRIVATE LIMITED,
VT-HUH,8018BA,Indo Pacific Aviation,Indo Pacific Aviation Pvt. Ltd.,non-scheduled,#03/1997,2028-10-14,BD-700-1A10(G6000),GL5T,Bombardier,Bombardier Global 5000/5500/6000/6500,FW,13,13,passenger,ns-oper.pdf,2026-08-31,2026-05-31,,,,,
VT-HVV,80142E,Air Charters Services,Air Charters Services Pvt. Ltd.,non-scheduled,#15/2008,2029-05-14,FALCON 7X (M 1000),FA7X,Dassault,Dassault Falcon 7X,FW,14,14,passenger,ns-oper.pdf,2026-08-31,2025-09-30,2021-04-28,432,2017,MERRITT AVIATIONS LIMITED,MERRITT AVIATIONS LIMITED
VT-HYA,,SKB Infracons,SKB Infracons Pvt. Ltd.,non-scheduled,#05/2007,2029-06-20,KING AIR C 90A,BE9L,Beechcraft,Beechcraft King Air C90,FW,6,6,passenger,ns-oper.pdf,2026-08-31,2009-01-20,,,,,
VT-IAH,800429,Reliance Commercial Dealers,Reliance Commercial Dealers Ltd.,non-scheduled,#02/2008,2029-01-14,A319-115 CJ,A319,Airbus,Airbus A319,FW,19,19,passenger,ns-oper.pdf,2026-08-31,2009-01-20,2011-01-13,,,M/S AIRCRAFT RENTAL LEASING LIMITED,M/S INVESTEC INTERNATIONAL LIMITED
VT-IAN,800AF4,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-232,A320,Airbus,Airbus A320,FW,180,180,passenger,sch-oper.pdf,2026-08-31,2014-06-12,2014-03-07,6010,2014,GOOD FLY LEASING LIMITED,M/S GOOD FLY LEASING LIMITED
VT-IAO,800AF5,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-232,A320,Airbus,Airbus A320,FW,180,180,passenger,sch-oper.pdf,2026-08-31,2014-06-12,2014-04-02,6036,2014,GOOD FLY LEASING LIMITED,M/S GOOD FLY LEASING LIMITED
VT-IAQ,800B12,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-232,A320,Airbus,Airbus A320,FW,180,180,passenger,sch-oper.pdf,2026-08-31,2016-02-10,2014-08-29,6247,2014,GOOD FLY LEASING LIMITED,GOOD FLY LEASING LIMITED
VT-IAR,800B13,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-232,A320,Airbus,Airbus A320,FW,180,180,passenger,sch-oper.pdf,2026-08-31,2016-02-10,2014-09-23,6275,2014,GOOD FLY LEASING LIMITED,GOOD FLY LEASING LIMITED
VT-IAS,800B14,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-232,A320,Airbus,Airbus A320,FW,180,180,passenger,sch-oper.pdf,2026-08-31,2016-02-10,2014-09-30,6289,2014,GOOD FLY LEASING LIMITED,GOOD FLY LEASING LIMITED
VT-IAX,800B2B,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-232,A320,Airbus,Airbus A320,FW,180,180,passenger,sch-oper.pdf,2026-08-31,2016-02-10,2016-02-01,6287,2014,TC-CIT AVIATION IRELAND LIMITED,TC-CIT AVIATION IRELAND LIMITED
VT-IAZ,8016D4,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,,,passenger,sch-oper.pdf,2026-08-31,2024-11-15,2024-08-23,12062,2024,INDICAN LEASING 1 DESIGNATED ACTIVITY COMPANY,INTERGLOBE AVIATION FINANCIAL SERVICES IFSC PRIVATE LIMITED
VT-IBA,80048B,Chipsan Aviation,Chipsan Aviation Pvt. Ltd.,non-scheduled,#04/2017,2029-05-22,EC135P2+,EC35,Airbus Helicopters,Airbus H135,RW,6,6,passenger,ns-oper.pdf,2026-08-31,2009-01-20,,,,,
VT-IBB,80153E,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,,,passenger,sch-oper.pdf,2026-08-31,2023-01-31,2022-11-18,10900,2022,AVOLON LEASING IRELAND 1 LIMITED,AVOLON LEASING IRELAND 1 LIMITED
VT-IBC,80154B,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,,,passenger,sch-oper.pdf,2026-08-31,2023-01-31,2022-11-11,11025,2022,CALF (A4) AVIATION IRELAND DAC,CALF (A4) AVIATION IRELAND DAC
VT-IBD,80154D,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,,,passenger,sch-oper.pdf,2026-08-31,2023-01-31,2022-11-24,11065,2022,AVOLON LEASING IRELAND 1 LIMITED,AVOLON LEASING IRELAND 1 LIMITED
VT-IBE,801551,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,,,passenger,sch-oper.pdf,2026-08-31,2023-01-31,2022-12-06,11010,2022,AVOLON LEASING IRELAND 1 LIMITED,AVOLON LEASING IRELAND 1 LIMITED
VT-IBF,80155B,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,,,passenger,sch-oper.pdf,2026-08-31,2023-01-31,2022-12-08,10961,2022,AVOLON LEASING IRELAND 1 LIMITED,AVOLON LEASING IRELAND 1 LIMITED
VT-IBH,80155C,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,,,passenger,sch-oper.pdf,2026-08-31,2023-01-31,2022-12-10,11038,2022,AVOLON LEASING IRELAND 1 LIMITED,AVOLON LEASING IRELAND 1 LIMITED
VT-IBI,80158A,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,,,passenger,sch-oper.pdf,2026-08-31,2023-06-15,2023-02-21,11101,2023,AVOLON LEASING IRELAND 1 LIMITED,AVOLON LEASING IRELAND 1 LIMITED
VT-IBJ,80156A,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,,,passenger,sch-oper.pdf,2026-08-31,2023-01-31,2023-02-01,11114,2022,AVOLON LEASING IRELAND 1 LIMITED,AVOLON LEASING IRELAND 1 LIMITED
VT-IBK,8015AD,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,,,passenger,sch-oper.pdf,2026-08-31,2023-06-15,2023-04-17,11274,2023,"GY AVIATION LEASE 2203 CO., LIMITED","GY AVIATION LEASE 2203 CO., LIMITED"
VT-IBL,8015B2,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,,,passenger,sch-oper.pdf,2026-08-31,2023-06-15,2023-04-20,11321,2023,"GY AVIATION LEASE 2204 CO., LIMITED","GY AVIATION LEASE 2204 CO., LIMITED"
VT-IBM,8015BC,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,,,passenger,sch-oper.pdf,2026-08-31,2023-06-15,2023-12-05,11334,2023,"GY AVIATION LEASE 2205 CO., LIMITED","GY AVIATION LEASE 2205 CO., LIMITED"
VT-IBN,8015C7,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,,,passenger,sch-oper.pdf,2026-08-31,2023-06-15,2023-01-06,11305,2023,NAC AVIATION 44 LIMITED,NAC AVIATION 44 LIMITED
VT-IBO,8015C2,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,,,passenger,sch-oper.pdf,2026-08-31,2023-06-15,2023-05-19,11326,2023,NAC AVIATION 44 LIMITED,NAC AVIATION 44 LIMITED
VT-IBQ,8015CB,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,,,passenger,sch-oper.pdf,2026-08-31,2024-06-10,2023-06-15,11385,2023,SATO AVIATION IRELAND LIMITED,SATO AVIATION IRELAND LIMITED
VT-IBT,8015C6,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,,,passenger,sch-oper.pdf,2026-08-31,2023-06-15,2023-05-26,11364,2023,NAC AVIATION 44 LIMITED,NAC AVIATION 44 LIMITED
VT-IBU,8015C9,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,,,passenger,sch-oper.pdf,2026-08-31,2024-06-10,2023-06-14,11430,2023,NAC AVIATION 50 LIMITED,NAC AVIATION 50 LIMITED
VT-IBV,8015D3,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,,,passenger,sch-oper.pdf,2026-08-31,2024-06-10,,,,,
VT-IBW,8015E6,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,,,passenger,sch-oper.pdf,2026-08-31,2024-06-10,2023-08-16,11404,2023,CAVIC 58 DESIGNATED ACTIVITY COMPANY,CAVIC 58 DESIGNATED ACTIVITY COMPANY
VT-IBX,8015DB,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,,,passenger,sch-oper.pdf,2026-08-31,2024-06-10,2023-07-18,11447,2023,DYNAM AVIATION IRELAND SIX LIMITED,DYNAM AVIATION IRELAND SIX LIMITED
VT-IBY,8015E5,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,,,passenger,sch-oper.pdf,2026-08-31,2024-06-10,2023-11-08,11456,2023,CAVIC 58 DESIGNATED ACTIVITY COMPANY,CAVIC 58 DESIGNATED ACTIVITY COMPANY
VT-IBZ,8015E7,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,,,passenger,sch-oper.pdf,2026-08-31,2024-06-10,2023-08-21,11449,2023,CAVIC 58 DESIGNATED ACTIVITY COMPANY,CAVIC 58 DESIGNATED ACTIVITY COMPANY
VT-ICB,8016DB,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,,,passenger,sch-oper.pdf,2026-08-31,2024-11-15,2024-09-06,11984,2024,INDICAN LEASING 1 DESIGNATED ACTIVITY COMPANY,INTERGLOBE AVIATION FINANCIAL SERVICES IFSC PRIVATE LIMITED
VT-ICC,8016DF,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,,,passenger,sch-oper.pdf,2026-08-31,2024-11-15,2024-09-24,12107,2024,INDICAN LEASING 1 DESIGNATED ACTIVITY COMPANY,INTERGLOBE AVIATION FINANCIAL SERVICES IFSC PRIVATE LIMITED
