reg,hex,operator,operator_legal,category,permit_no,permit_valid_until,model,type_icao,type_manufacturer,type_name,wing,seats,seats_raw,role,source_file,source_as_on,first_seen,registered_on,msn,year_of_manufacture,owner,lessor
VT-ALL,8003E4,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2024-06-10,2008-01-31,2011-02-23,,,M/S GOLDEN STATE AIRCRAFT LLC,M/S LEINSTAR AVIATION LEASING LTD
VT-ALM,800462,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2024-06-10,2009-01-20,2011-02-23,,,M/S FOUR LIONS AIRCRAFT LLC,M/S ULSTRE AVIATION TH LEASING LTD
VT-ALN,800463,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2024-06-10,2009-01-20,2011-02-23,,,M/S FOUR LIONS AIRCRAFT LLC,M/S ULSTRE AVIATION LEASING LTD
VT-ALO,8004DD,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2024-06-10,2010-06-30,2011-02-23,,,M/S KAI TING AIRCRAFT LLC,M/S MUNSTER AVIATION TH LEASING LTD
VT-ALP,8004DE,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2024-06-10,2010-06-30,2011-02-23,,,M/S KAI TING AIRCRAFT LLC,M/S MUNSTER AVIATION TH LEASING LTD
VT-ALQ,8004DF,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2024-06-10,2010-06-30,2011-02-23,,,M/S KAI TING AIRCRAFT LLC,M/S MUNSTER AVIATION TH LEASING LTD
VT-ALR,8004E0,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2024-06-10,2010-06-30,2011-02-23,,,M/S KAI TING AIRCRAFT LLC,M/S MUNSTER AVIATION TH LEASING LTD
VT-ALS,800582,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2024-06-10,2010-06-30,2010-05-03,,,NATIONAL AVIATION COMPANY OF INDIA LIMITED,
VT-ALT,800583,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2024-06-10,2010-06-30,2010-05-26,,,,
VT-ALU,800584,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2024-06-10,2010-10-07,2010-07-07,,,,
VT-ALX,800C3E,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2024-06-10,2018-05-01,,,,,
VT-AMD,,Air India Express,AIX Connect Pvt. Ltd.,scheduled,S-26,2029-05-06,A320-214,A320,Airbus,Airbus A320,FW,180,180,passenger,sch-oper.pdf,2024-06-10,2023-01-31,,,,,
VT-ANA,8005EB,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2024-06-10,2014-06-12,,,,,
VT-ANB,8005EC,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2024-06-10,2014-06-12,,,,,
VT-ANC,8005ED,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2024-06-10,2016-02-10,,,,,
VT-AND,8005EE,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2024-06-10,2006-01-20,2012-05-25,,,,
VT-ANE,8005EF,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2024-06-10,2014-06-12,,,,,
VT-ANG,8005F0,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2024-06-10,2013-12-05,,,,,
VT-ANH,8005F1,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2024-06-10,2013-05-02,,,,,
VT-ANI,8005F2,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2024-06-10,2013-05-02,,,,,
VT-ANJ,8005F3,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2024-06-10,2013-05-02,2013-01-01,,,,
VT-ANK,8005F4,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2024-06-10,2013-05-02,2012-12-19,,,,
VT-ANL,800732,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2024-06-10,2013-05-02,2012-12-28,,,,
VT-ANM,800733,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2024-06-10,2013-09-04,2013-06-13,,,,
VT-ANN,800734,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2024-06-10,2013-12-05,2013-08-17,,,,
VT-ANO,800735,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2024-06-10,2013-12-05,,,,,
VT-ANP,800736,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2024-06-10,2014-06-12,,,,,
VT-ANQ,800737,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2024-06-10,2016-02-10,,,,,
VT-ANR,800738,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2024-06-10,2016-02-10,,,,,
VT-ANS,800739,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2024-06-10,2016-02-10,,,,,
VT-ANT,80073A,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2024-06-10,2016-02-10,,,,,
VT-ANU,80073B,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2024-06-10,2016-02-10,,,,,
VT-ANV,80073C,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2024-06-10,2016-02-10,,,,,
VT-ANW,80073D,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2024-06-10,2017-03-07,,,,,
VT-ANX,80073E,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2024-06-10,2017-03-07,,,,,
VT-ANY,80073F,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2024-06-10,2017-09-26,,,,,
VT-ANZ,800740,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2024-06-10,2017-09-26,,,,,
VT-APJ,800B8C,Air India Express,AIX Connect Pvt. Ltd.,scheduled,S-26,2029-05-06,A320-216,A320,Airbus,Airbus A320,FW,180,180,passenger,sch-oper.pdf,2024-06-10,2016-02-10,,,,,
VT-ATB,800B0A,Air India Express,AIX Connect Pvt. Ltd.,scheduled,S-26,2029-05-06,A320-216,A320,Airbus,Airbus A320,FW,180,180,passenger,sch-oper.pdf,2024-06-10,2016-02-10,,,,,
VT-ATD,801403,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2023-01-31,,,,,
VT-ATE,801407,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2023-01-31,,,,,
VT-ATF,,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2016-02-10,,,,,
VT-ATG,80140E,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2023-01-31,,,,,
VT-ATH,801435,Air India Express,AIX Connect Pvt. Ltd.,scheduled,S-26,2029-05-06,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2023-01-31,,,,,
VT-ATJ,801444,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2023-01-31,,,,,
VT-ATQ,800DB8,Air India Express,AIX Connect Pvt. Ltd.,scheduled,S-26,2029-05-06,A320-216,A320,Airbus,Airbus A320,FW,180,180,passenger,sch-oper.pdf,2024-06-10,2023-01-31,,,,,
VT-ATV,800CE8,Vistara,Tata SIA Airlines Ltd.,scheduled,S-27,2024-12-14,A320-251N,A20N,Airbus,Airbus A320neo,FW,164,164,passenger,sch-oper.pdf,2024-06-10,2018-10-31,,,,,
VT-AXI,800396,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-800,B738,Boeing,Boeing 737-800,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2007-05-10,,,,,
VT-AXJ,8003B0,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-800,B738,Boeing,Boeing 737-800,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2007-05-10,,,,,
VT-AXM,8003B1,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-800,B738,Boeing,Boeing 737-800,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2007-05-10,,,,,
VT-AXN,8003B2,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-800,B738,Boeing,Boeing 737-800,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2007-05-10,,,,,
VT-AXP,8003B3,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-800,B738,Boeing,Boeing 737-800,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2007-05-10,,,,,
VT-AXQ,8003F0,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-800,B738,Boeing,Boeing 737-800,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2007-09-26,,,,,
