reg,hex,operator,operator_legal,category,permit_no,permit_valid_until,model,type_icao,type_manufacturer,type_name,wing,seats,seats_raw,role,source_file,source_as_on,first_seen,registered_on,msn,year_of_manufacture,owner,lessor
VT-BXR,801642,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-8,B38M,Boeing,Boeing 737-8,FW,176,176,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-BXS,801650,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-8,B38M,Boeing,Boeing 737-8,FW,176,176,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-BXZ,801673,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-8,B38M,Boeing,Boeing 737-8,FW,176,176,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-CID,800BE5,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,A320-251N,A20N,Airbus,Airbus A320neo,FW,162,162,passenger,sch-oper.pdf,2024-06-10,2017-07-20,,,,,
VT-CIE,800BE6,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,A320-251N,A20N,Airbus,Airbus A320neo,FW,162,162,passenger,sch-oper.pdf,2024-06-10,2017-07-20,,,,,
VT-CIF,800BFB,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,A320-251N,A20N,Airbus,Airbus A320neo,FW,162,162,passenger,sch-oper.pdf,2024-06-10,2017-07-20,,,,,
VT-CIG,800C42,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,A320-251N,A20N,Airbus,Airbus A320neo,FW,162,162,passenger,sch-oper.pdf,2024-06-10,2018-02-01,,,,,
VT-CIH,800C4A,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,A320-251N,A20N,Airbus,Airbus A320neo,FW,162,162,passenger,sch-oper.pdf,2024-06-10,2018-05-01,,,,,
VT-CIM,800C85,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,A320-251N,A20N,Airbus,Airbus A320neo,FW,162,162,passenger,sch-oper.pdf,2024-06-10,2018-10-31,,,,,
VT-CIN,800C86,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,A320-251N,A20N,Airbus,Airbus A320neo,FW,162,162,passenger,sch-oper.pdf,2024-06-10,2018-10-31,,,,,
VT-CIO,800C87,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,A320-251N,A20N,Airbus,Airbus A320neo,FW,162,162,passenger,sch-oper.pdf,2024-06-10,2018-10-31,,,,,
VT-CIP,800C88,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,A320-251N,A20N,Airbus,Airbus A320neo,FW,162,162,passenger,sch-oper.pdf,2024-06-10,2018-10-31,,,,,
VT-CIQ,800C89,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,A320-251N,A20N,Airbus,Airbus A320neo,FW,162,162,passenger,sch-oper.pdf,2024-06-10,2018-10-31,,,,,
VT-EDC,80057D,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,A320-214,A320,Airbus,Airbus A320,FW,150,150,passenger,sch-oper.pdf,2024-06-10,2010-06-30,2010-03-08,,,,
VT-EDD,80057C,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,A320-214,A320,Airbus,Airbus A320,FW,150,150,passenger,sch-oper.pdf,2024-06-10,2010-10-07,2010-03-02,,,NATIONAL AVIATION COMPANY OF INDIA LIMITED,
VT-EDE,800588,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,A320-214,A320,Airbus,Airbus A320,FW,150,150,passenger,sch-oper.pdf,2024-06-10,2010-10-07,2010-03-31,,,NATIONAL AVIATION COMPANY OF INDIA LIMITED,
VT-EDF,800589,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,A320-214,A320,Airbus,Airbus A320,FW,150,150,passenger,sch-oper.pdf,2024-06-10,2010-10-07,2010-04-01,,,NATIONAL AVIATION COMPANY OF INDIA LIMITED,
VT-EXA,800B30,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,A320-214,A320,Airbus,Airbus A320,FW,150,150,passenger,sch-oper.pdf,2024-06-10,2016-02-10,,,,,
VT-EXB,800B44,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,A320-214,A320,Airbus,Airbus A320,FW,150,150,passenger,sch-oper.pdf,2024-06-10,2016-02-10,,,,,
VT-EXC,800B61,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,A320-214,A320,Airbus,Airbus A320,FW,150,150,passenger,sch-oper.pdf,2024-06-10,2016-02-10,,,,,
VT-EXD,800B62,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,A320-214,A320,Airbus,Airbus A320,FW,150,150,passenger,sch-oper.pdf,2024-06-10,2016-02-10,,,,,
VT-EXE,800B63,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,A320-214,A320,Airbus,Airbus A320,FW,150,150,passenger,sch-oper.pdf,2024-06-10,2016-02-10,,,,,
VT-EXF,800BD4,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,A320-251N,A20N,Airbus,Airbus A320neo,FW,162,162,passenger,sch-oper.pdf,2024-06-10,2017-03-07,,,,,
VT-EXG,800BEF,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,A320-251N,A20N,Airbus,Airbus A320neo,FW,162,162,passenger,sch-oper.pdf,2024-06-10,2017-07-20,,,,,
VT-EXH,800C07,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,A320-251N,A20N,Airbus,Airbus A320neo,FW,162,162,passenger,sch-oper.pdf,2024-06-10,2018-02-01,,,,,
VT-EXI,800C08,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,A320-251N,A20N,Airbus,Airbus A320neo,FW,162,162,passenger,sch-oper.pdf,2024-06-10,2018-02-01,,,,,
VT-EXJ,800C43,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,A320-251N,A20N,Airbus,Airbus A320neo,FW,162,162,passenger,sch-oper.pdf,2024-06-10,2018-02-01,,,,,
VT-EXK,800C44,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,A320-251N,A20N,Airbus,Airbus A320neo,FW,162,162,passenger,sch-oper.pdf,2024-06-10,2018-02-01,,,,,
VT-EXL,800C48,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,A320-251N,A20N,Airbus,Airbus A320neo,FW,162,162,passenger,sch-oper.pdf,2024-06-10,2018-02-01,,,,,
VT-EXM,800C4B,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,A320-251N,A20N,Airbus,Airbus A320neo,FW,162,162,passenger,sch-oper.pdf,2024-06-10,2018-05-01,,,,,
VT-EXN,800CC7,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,A320-251N,A20N,Airbus,Airbus A320neo,FW,162,162,passenger,sch-oper.pdf,2024-06-10,2019-07-15,2019-01-01,8486,2018,"HSBC Middle East Leasing Partnership, Dubai, United Arab Emirates","Alafco Irish Aircraft Leasing Six Limited Dublin2, Ireland"
VT-EXO,800CC8,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,A320-251N,A20N,Airbus,Airbus A320neo,FW,162,162,passenger,sch-oper.pdf,2024-06-10,2019-07-15,,,,,
VT-EXP,800CFE,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,A320-251N,A20N,Airbus,Airbus A320neo,FW,162,162,passenger,sch-oper.pdf,2024-06-10,2019-07-15,,,,,
VT-EXQ,800CFF,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,A320-251N,A20N,Airbus,Airbus A320neo,FW,162,162,passenger,sch-oper.pdf,2024-06-10,2019-07-15,2019-02-26,8770,2019,"HSBC Middle East Leasing Partnership Dubai, United Arab Emirates","Alfaco Irish Aircraftleasin g Six Limited Dublin 2, Ireland"
VT-EXR,800D40,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,A320-251N,A20N,Airbus,Airbus A320neo,FW,162,162,passenger,sch-oper.pdf,2024-06-10,2019-07-15,,,,,
VT-EXS,800D41,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,A320-251N,A20N,Airbus,Airbus A320neo,FW,162,162,passenger,sch-oper.pdf,2024-06-10,2019-07-15,2019-03-28,8862,2019,"Alfaco Irish Aircraft Leasing Six Limited Dublin 2, Ireland",Same As Owner
VT-EXT,800BE7,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,A320-251N,A20N,Airbus,Airbus A320neo,FW,162,162,passenger,sch-oper.pdf,2024-06-10,2017-07-20,,,,,
VT-EXU,800BF9,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,A320-251N,A20N,Airbus,Airbus A320neo,FW,162,162,passenger,sch-oper.pdf,2024-06-10,2017-07-20,,,,,
VT-EXV,800BFA,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,A320-251N,A20N,Airbus,Airbus A320neo,FW,162,162,passenger,sch-oper.pdf,2024-06-10,2017-07-20,,,,,
VT-FIB,801653,Fly91,Just Udo Aviation Pvt.,scheduled,SC-10,2027-03-05,ATR72-600,AT76,ATR,ATR 72-600,FW,72,72,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-FIC,801684,Fly91,Just Udo Aviation Pvt.,scheduled,SC-10,2027-03-05,ATR72-600,AT76,ATR,ATR 72-600,FW,72,72,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-GHA,800B99,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-800,B738,Boeing,Boeing 737-800,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2017-03-07,,,,,
VT-GHB,800B9A,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-800,B738,Boeing,Boeing 737-800,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2017-03-07,,,,,
VT-GHC,800B9B,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-800,B738,Boeing,Boeing 737-800,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2017-03-07,,,,,
VT-GHD,800B9C,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-800,B738,Boeing,Boeing 737-800,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2017-03-07,,,,,
VT-GHE,800B9D,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-800,B738,Boeing,Boeing 737-800,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2017-03-07,,,,,
VT-GHF,800B9E,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-800,B738,Boeing,Boeing 737-800,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2017-03-07,,,,,
VT-GHI,800CD5,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-800,B738,Boeing,Boeing 737-800,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2019-07-15,,,,,
VT-GHK,800CD6,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-800,B738,Boeing,Boeing 737-800,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2018-10-31,,,,,
VT-GSC,800C8A,Star Air,Ghodawat Enterprises Pvt. Ltd.,scheduled,SC-04,2028-12-31,EMB-145LR,E145,Embraer,Embraer ERJ 145,FW,50,50,passenger,sch-oper.pdf,2024-06-10,2019-07-15,,,,,
VT-GSE,800CC1,Star Air,Ghodawat Enterprises Pvt. Ltd.,scheduled,SC-04,2028-12-31,EMB-145LR,E145,Embraer,Embraer ERJ 145,FW,50,50,passenger,sch-oper.pdf,2024-06-10,2019-07-15,2019-01-18,145698,2003,"Enterprises Private Limited Bangalore- 560082, Karnataka",Same As Owner
VT-GSF,8013B3,Star Air,Ghodawat Enterprises Pvt. Ltd.,scheduled,SC-04,2028-12-31,EMB-145LR,E145,Embraer,Embraer ERJ 145,FW,50,50,passenger,sch-oper.pdf,2024-06-10,2023-01-31,,,,,
VT-GSH,8015DD,Star Air,Ghodawat Enterprises Pvt. Ltd.,scheduled,SC-04,2028-12-31,EMB-170,E170,Embraer,Embraer E170,FW,76,76,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-GSI,801580,Star Air,Ghodawat Enterprises Pvt. Ltd.,scheduled,SC-04,2028-12-31,EMB-170,E170,Embraer,Embraer E170,FW,76,76,passenger,sch-oper.pdf,2024-06-10,2023-06-15,,,,,
VT-GSJ,80159B,Star Air,Ghodawat Enterprises Pvt. Ltd.,scheduled,SC-04,2028-12-31,EMB-170,E170,Embraer,Embraer E170,FW,76,76,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-GSN,8013EE,Star Air,Ghodawat Enterprises Pvt. Ltd.,scheduled,SC-04,2028-12-31,EMB-145LR,E145,Embraer,Embraer ERJ 145,FW,50,50,passenger,sch-oper.pdf,2024-06-10,2023-01-31,,,,,
VT-GSS,801418,Star Air,Ghodawat Enterprises Pvt. Ltd.,scheduled,SC-04,2028-12-31,EMB-145LR,E145,Embraer,Embraer ERJ 145,FW,50,50,passenger,sch-oper.pdf,2024-06-10,2023-01-31,,,,,
VT-GSU,801618,Star Air,Ghodawat Enterprises Pvt. Ltd.,scheduled,SC-04,2028-12-31,EMB-170,E170,Embraer,Embraer E170,FW,76,76,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-GWH,800CB8,Air India Express,AIX Connect Pvt. Ltd.,scheduled,S-26,2029-05-06,A320-216,A320,Airbus,Airbus A320,FW,180,180,passenger,sch-oper.pdf,2024-06-10,2018-05-01,,,,,
VT-HIT,8015F2,FlyBig,Big Charter Pvt. Ltd.,scheduled,SC-07,2025-12-13,DHC-6-400 (Twin Otter),DHC6,De Havilland Canada,DHC-6 Twin Otter,FW,19,19,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-HJS,,GSEC Monarch & Deccan Charters,GSEC Monarch and Deccan Aviation Pvt. Ltd.,scheduled,SC-09,2025-06-23,Cessna Grand,,Other,Cessna Grand,FW,9,9,passenger,sch-oper.pdf,2024-06-10,2023-01-31,,,,,
VT-HKG,,Air India Express,AIX Connect Pvt. Ltd.,scheduled,S-26,2029-05-06,A320-214,A320,Airbus,Airbus A320,FW,180,180,passenger,sch-oper.pdf,2024-06-10,2023-01-31,,,,,
VT-HYD,800BE9,Air India Express,AIX Connect Pvt. Ltd.,scheduled,S-26,2029-05-06,A320-216,A320,Airbus,Airbus A320,FW,180,180,passenger,sch-oper.pdf,2024-06-10,2017-03-07,,,,,
VT-IAN,800AF4,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-232,A320,Airbus,Airbus A320,FW,180,180,passenger,sch-oper.pdf,2024-06-10,2014-06-12,,,,,
VT-IAO,800AF5,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-232,A320,Airbus,Airbus A320,FW,180,180,passenger,sch-oper.pdf,2024-06-10,2014-06-12,,,,,
VT-IAQ,800B12,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-232,A320,Airbus,Airbus A320,FW,180,180,passenger,sch-oper.pdf,2024-06-10,2016-02-10,,,,,
VT-IAR,800B13,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-232,A320,Airbus,Airbus A320,FW,180,180,passenger,sch-oper.pdf,2024-06-10,2016-02-10,,,,,
VT-IAS,800B14,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-232,A320,Airbus,Airbus A320,FW,180,180,passenger,sch-oper.pdf,2024-06-10,2016-02-10,,,,,
VT-IAX,800B2B,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-232,A320,Airbus,Airbus A320,FW,180,180,passenger,sch-oper.pdf,2024-06-10,2016-02-10,,,,,
VT-IBB,80153E,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,232,232,passenger,sch-oper.pdf,2024-06-10,2023-01-31,,,,,
VT-IBC,80154B,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,232,232,passenger,sch-oper.pdf,2024-06-10,2023-01-31,,,,,
VT-IBD,80154D,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,232,232,passenger,sch-oper.pdf,2024-06-10,2023-01-31,,,,,
VT-IBE,801551,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,232,232,passenger,sch-oper.pdf,2024-06-10,2023-01-31,,,,,
VT-IBF,80155B,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,232,232,passenger,sch-oper.pdf,2024-06-10,2023-01-31,,,,,
VT-IBH,80155C,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,232,232,passenger,sch-oper.pdf,2024-06-10,2023-01-31,,,,,
VT-IBI,80158A,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,232,232,passenger,sch-oper.pdf,2024-06-10,2023-06-15,,,,,
VT-IBJ,80156A,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,232,232,passenger,sch-oper.pdf,2024-06-10,2023-01-31,,,,,
VT-IBK,8015AD,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,232,232,passenger,sch-oper.pdf,2024-06-10,2023-06-15,,,,,
VT-IBL,8015B2,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,232,232,passenger,sch-oper.pdf,2024-06-10,2023-06-15,,,,,
VT-IBM,8015BC,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,232,232,passenger,sch-oper.pdf,2024-06-10,2023-06-15,,,,,
VT-IBN,8015C7,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,232,232,passenger,sch-oper.pdf,2024-06-10,2023-06-15,,,,,
VT-IBO,8015C2,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,232,232,passenger,sch-oper.pdf,2024-06-10,2023-06-15,,,,,
VT-IBQ,8015CB,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,232,232,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-IBT,8015C6,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,232,232,passenger,sch-oper.pdf,2024-06-10,2023-06-15,,,,,
VT-IBU,8015C9,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,232,232,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-IBV,8015D3,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,232,232,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-IBW,8015E6,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,232,232,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-IBX,8015DB,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,232,232,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-IBY,8015E5,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,232,232,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-IBZ,8015E7,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,232,232,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-ICN,801608,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,232,232,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-ICO,80160F,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,232,232,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-ICP,80169D,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,232,232,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-IFH,800756,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-232,A320,Airbus,Airbus A320,FW,180,180,passenger,sch-oper.pdf,2024-06-10,2013-05-02,2013-01-28,,,,
VT-IFI,8007B0,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-232,A320,Airbus,Airbus A320,FW,180,180,passenger,sch-oper.pdf,2024-06-10,2013-05-02,2013-02-01,,,"M/S UNICORN LEASING LTD. 3RD FLOOR, 19-20 CITY QUAY, DUBLIN 2, IRELAND",
VT-IFK,8007B2,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-232,A320,Airbus,Airbus A320,FW,180,180,passenger,sch-oper.pdf,2024-06-10,2013-05-02,2013-02-21,,,M/S UNICORN LEASING LTD,
VT-IFL,8007B3,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-232,A320,Airbus,Airbus A320,FW,180,180,passenger,sch-oper.pdf,2024-06-10,2013-05-02,2013-02-01,,,"M/S UNICORN LEASING LTD. 3RD FLOOR, 19-20 CITY QUAY, DUBLIN 2, IRELAND",
VT-IFM,8007C9,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-232,A320,Airbus,Airbus A320,FW,180,180,passenger,sch-oper.pdf,2024-06-10,2013-05-02,2013-04-10,,,M/S UNICORN LEASING LIMITED,
VT-IFN,8007CA,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-232,A320,Airbus,Airbus A320,FW,180,180,passenger,sch-oper.pdf,2024-06-10,2013-09-04,2013-05-14,,,M/S UNICORN LEASING LIMITED,
VT-IFP,8007CC,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-232,A320,Airbus,Airbus A320,FW,180,180,passenger,sch-oper.pdf,2024-06-10,2013-09-04,2013-07-01,,,M/S UNICORN LEASING LIMITED,
VT-IFQ,8007CD,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-232,A320,Airbus,Airbus A320,FW,180,180,passenger,sch-oper.pdf,2024-06-10,2013-09-04,2013-07-03,,,M/S UNICORN LEASING LIMITED,
VT-IFR,8007CE,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-232,A320,Airbus,Airbus A320,FW,180,180,passenger,sch-oper.pdf,2024-06-10,2013-09-04,2013-08-06,,,M/S UNICORN LEASING LIMITED,
VT-IFS,8007CF,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-232,A320,Airbus,Airbus A320,FW,180,180,passenger,sch-oper.pdf,2024-06-10,2013-09-04,2013-08-29,,,M/S UNICORN LEASING LIMITED,
VT-IFV,8007DF,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-232,A320,Airbus,Airbus A320,FW,180,180,passenger,sch-oper.pdf,2024-06-10,2013-12-05,,,,,
VT-IFZ,800AF1,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-232,A320,Airbus,Airbus A320,FW,180,180,passenger,sch-oper.pdf,2024-06-10,2014-06-12,,,,,
VT-IHZ,800D43,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-232,A320,Airbus,Airbus A320,FW,180,180,passenger,sch-oper.pdf,2024-06-10,2019-07-15,2019-03-14,3071,2007,"Cit Aerospace International Dublin 4, Ireland",Same As Owner
VT-IIA,801455,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2023-01-31,,,,,
VT-IIB,80145C,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2023-01-31,,,,,
VT-IID,80145D,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2023-01-31,,,,,
VT-IIE,80145E,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2023-01-31,,,,,
VT-IIF,801470,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2023-01-31,,,,,
VT-IIG,80145F,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2023-01-31,,,,,
VT-IIH,80148F,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2023-01-31,,,,,
VT-IIJ,80148E,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2023-01-31,,,,,
VT-IIK,80149A,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2023-01-31,,,,,
VT-IIL,80149C,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2023-01-31,,,,,
VT-IIM,801499,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2023-01-31,,,,,
VT-IIN,8014B0,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2023-01-31,,,,,
VT-IIO,8014AF,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2023-01-31,,,,,
VT-IIP,8014B2,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2023-01-31,,,,,
